1 depressed: pos_count=119   neg_count=43   result=No
2 depressed: pos_count=8   neg_count=1   result=No
3 depressed: pos_count=5   neg_count=0   result=No
4 depressed: pos_count=113   neg_count=65   result=No
5 depressed: pos_count=145   neg_count=93   result=No
6 depressed: pos_count=341   neg_count=188   result=No
7 depressed: pos_count=0   neg_count=1   result=YES
8 depressed: pos_count=92   neg_count=42   result=No
9 depressed: pos_count=60   neg_count=46   result=No
10 depressed: pos_count=46   neg_count=19   result=No
11 depressed: pos_count=112   neg_count=15   result=No
12 depressed: pos_count=157   neg_count=58   result=No
13 depressed: pos_count=0   neg_count=2   result=YES
14 depressed: pos_count=52   neg_count=11   result=No
15 depressed: pos_count=24   neg_count=10   result=No
16 depressed: pos_count=180   neg_count=95   result=No
17 depressed: pos_count=364   neg_count=92   result=No
18 depressed: pos_count=1   neg_count=2   result=YES
19 depressed: pos_count=311   neg_count=94   result=No
20 depressed: pos_count=6   neg_count=5   result=No
21 depressed: pos_count=40   neg_count=24   result=No
22 depressed: pos_count=47   neg_count=56   result=YES
23 depressed: pos_count=184   neg_count=66   result=No
24 depressed: pos_count=201   neg_count=119   result=No
25 depressed: pos_count=83   neg_count=36   result=No
26 depressed: pos_count=283   neg_count=74   result=No
27 depressed: pos_count=24   neg_count=10   result=No
28 depressed: pos_count=45   neg_count=14   result=No
29 depressed: pos_count=364   neg_count=90   result=No
30 depressed: pos_count=48   neg_count=28   result=No
31 depressed: pos_count=40   neg_count=8   result=No
32 depressed: pos_count=736   neg_count=169   result=No
33 depressed: pos_count=326   neg_count=69   result=No
34 depressed: pos_count=115   neg_count=80   result=No
35 depressed: pos_count=332   neg_count=106   result=No
36 depressed: pos_count=177   neg_count=123   result=No
37 depressed: pos_count=218   neg_count=115   result=No
38 depressed: pos_count=39   neg_count=25   result=No
39 depressed: pos_count=25   neg_count=15   result=No
40 depressed: pos_count=111   neg_count=47   result=No
41 depressed: pos_count=12   neg_count=16   result=YES
42 depressed: pos_count=73   neg_count=15   result=No
43 depressed: pos_count=30   neg_count=13   result=No
44 depressed: pos_count=6   neg_count=3   result=No
45 depressed: pos_count=82   neg_count=33   result=No
46 depressed: pos_count=21   neg_count=40   result=YES
47 depressed: pos_count=15   neg_count=14   result=No
48 depressed: pos_count=3   neg_count=7   result=YES
49 depressed: pos_count=108   neg_count=70   result=No
1 common: pos_count=1244   neg_count=340   result=YES
2 common: pos_count=4   neg_count=1   result=YES
3 common: pos_count=1651   neg_count=387   result=YES
4 common: pos_count=963   neg_count=307   result=YES
5 common: pos_count=2499   neg_count=638   result=YES
6 common: pos_count=1695   neg_count=886   result=YES
7 common: pos_count=16   neg_count=14   result=YES
8 common: pos_count=105   neg_count=10   result=YES
9 common: pos_count=1649   neg_count=389   result=YES
10 common: pos_count=791   neg_count=433   result=YES
11 common: pos_count=311   neg_count=55   result=YES
12 common: pos_count=16   neg_count=3   result=YES
13 common: pos_count=22   neg_count=3   result=YES
14 common: pos_count=85   neg_count=29   result=YES
15 common: pos_count=1483   neg_count=789   result=YES
16 common: pos_count=301   neg_count=160   result=YES
17 common: pos_count=403   neg_count=94   result=YES
18 common: pos_count=336   neg_count=129   result=YES
19 common: pos_count=77   neg_count=40   result=YES
20 common: pos_count=654   neg_count=325   result=YES
21 common: pos_count=215   neg_count=93   result=YES
22 common: pos_count=1649   neg_count=386   result=YES
23 common: pos_count=1740   neg_count=828   result=YES
24 common: pos_count=1077   neg_count=212   result=YES
25 common: pos_count=239   neg_count=151   result=YES
26 common: pos_count=248   neg_count=155   result=YES
27 common: pos_count=74   neg_count=29   result=YES
28 common: pos_count=54   neg_count=56   result=No
29 common: pos_count=175   neg_count=65   result=YES
30 common: pos_count=50   neg_count=10   result=YES
31 common: pos_count=15   neg_count=4   result=YES
32 common: pos_count=440   neg_count=87   result=YES
33 common: pos_count=434   neg_count=131   result=YES
34 common: pos_count=361   neg_count=159   result=YES
35 common: pos_count=897   neg_count=660   result=YES
36 common: pos_count=544   neg_count=299   result=YES
37 common: pos_count=161   neg_count=108   result=YES
38 common: pos_count=1076   neg_count=212   result=YES
39 common: pos_count=1692   neg_count=831   result=YES
40 common: pos_count=57   neg_count=32   result=YES
41 common: pos_count=2030   neg_count=681   result=YES
42 common: pos_count=215   neg_count=92   result=YES
43 common: pos_count=50   neg_count=13   result=YES
44 common: pos_count=124   neg_count=94   result=YES
45 common: pos_count=22   neg_count=10   result=YES
46 common: pos_count=31   neg_count=20   result=YES
47 common: pos_count=297   neg_count=66   result=YES
48 common: pos_count=867   neg_count=403   result=YES
49 common: pos_count=0   neg_count=1   result=No
50 common: pos_count=12   neg_count=11   result=YES
